d,_NAME_,_LABEL_,AAPL,ABT,ACN,AEP,ALL,AMGN,AMZN,APA,APC,AXP,BA,BAC,BAX,BHI,BK,BMY,C,CAT,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DD,DELL,DIS,DOW,DVN,EBAY,EMC,EMR,EXC,F,FCX,FDX,GD,GE,GILD,GOOG,GS,HAL,HD,HNZ,HON,HPQ,IBM,INTC,JNJ,JPM,KO,LLY,LMT,LOW,MCD,MDT,MET,MMM,MO,MON,MRK,MS,MSFT,NKE,NOV,NSC,ORCL,OXY,PEP,PFE,PG,QCOM,RTN,SBUX,SLB,SO,SPG,T,TGT,TWX,TXN,UNH,UNP,UPS,USB,UTX,VZ,WAG,WFC,WMB,WMT,XOM
1,RET,Returns,0.050355,0.101319,0.092137,0.006201,-0.037359,-0.075704,-0.049417,0.103765,0.137942,0.021570,-0.027477,-0.041604,-0.021248,0.274103,0.005337,0.003917,-0.040181,0.179678,0.006016,0.073302,-0.035880,0.112066,0.008490,0.084696,0.052186,0.045975,-0.078823,-0.021369,0.055903,-0.034687,0.090662,-0.002777,-0.016153,0.036814,0.080542,0.124352,0.200046,-0.021666,0.023761,-0.065621,0.157885,0.042906,0.107979,0.285023,0.001729,0.006524,0.031409,0.089067,-0.010949,-0.148438,-0.042596,0.010078,0.026544,0.000530,0.063178,-0.045755,0.038256,-0.017435,0.023673,-0.061290,-0.031852,0.093899,0.084565,0.087769,0.076482,-0.067289,0.213238,0.111755,0.029484,0.223210,-0.032160,0.101201,0.028162,0.113278,0.020423,0.056315,0.311889,0.007819,0.081039,0.073193,-0.004002,0.005161,-0.087621,-0.043772,0.098745,-0.003194,0.000669,0.043999,0.064575,-0.022142,-0.007481,0.028917,-0.014744,0.117144
2,RET,Returns,-0.092968,0.023870,0.035839,-0.012058,0.052450,0.035533,-0.164659,-0.113994,-0.080319,0.027264,0.068511,0.036627,0.027137,-0.120868,0.076391,0.013602,0.006011,0.076289,-0.007469,-0.035586,0.051941,-0.052241,0.028362,0.089930,0.020533,-0.041260,0.037292,-0.010577,0.105887,0.017258,-0.140449,-0.070534,0.046269,0.062040,0.001567,-0.071096,-0.211984,0.060208,0.059385,0.011298,0.023000,-0.161883,0.000283,-0.144059,0.039458,0.115793,0.071756,0.052277,-0.010578,-0.026111,0.007647,0.034969,0.014258,-0.010597,0.081596,0.072856,-0.002856,-0.044625,-0.000797,0.017869,-0.006082,-0.008628,0.010435,-0.029129,-0.042273,0.072020,-0.199684,0.030096,-0.011933,-0.063146,0.033753,0.029206,0.011818,-0.014804,0.059312,0.145741,-0.095724,-0.011422,0.010744,0.063198,-0.004566,-0.009698,0.021211,-0.020027,0.001017,0.002403,0.033434,0.005996,0.064435,0.038008,0.037845,-0.095218,-0.016265,-0.048765
3,RET,Returns,-0.084246,-0.038705,-0.079302,-0.067945,-0.042351,-0.036169,-0.024306,-0.021070,0.020472,-0.024685,0.072087,0.004144,0.025363,0.006623,0.052570,0.065368,0.018546,-0.017378,0.048091,-0.024972,-0.080822,0.035925,0.058019,0.070652,0.054359,0.026381,0.048956,0.026207,-0.003573,-0.047757,0.045241,-0.026460,-0.027817,0.022247,-0.073717,-0.001255,0.190401,0.053898,0.038047,0.058108,-0.000803,0.075506,0.110907,0.073823,0.007117,0.009242,0.044444,0.005181,0.027792,-0.055340,0.027233,0.012154,0.005004,-0.005753,0.031014,-0.054855,-0.015755,-0.059314,-0.034916,0.028537,-0.003338,0.010372,0.021515,0.052967,0.012653,-0.015787,0.053219,0.056467,0.102254,0.016059,-0.017933,-0.048492,-0.038378,0.073155,0.056221,0.036068,0.100609,-0.037026,0.014101,-0.019935,-0.043934,-0.030040,0.087772,-0.040185,0.057595,0.062508,-0.002588,-0.009060,0.010683,-0.038564,-0.005140,-0.004868,0.045139,0.025097
4,RET,Returns,0.122290,0.013304,-0.033256,-0.016461,0.084053,-0.069416,-0.036135,0.085941,0.037719,0.026261,0.070833,0.096179,-0.028601,0.181725,-0.018868,0.042666,0.067965,0.058209,0.040981,0.183104,0.076006,0.059382,0.004985,-0.033226,-0.003725,0.052613,0.044776,-0.119624,0.002510,0.000246,-0.017329,-0.117692,-0.008804,0.015784,0.020794,-0.114322,0.085704,0.019391,0.029228,-0.005463,-0.075860,0.071641,0.023445,0.070255,-0.056028,0.094673,-0.006313,-0.013070,-0.001576,0.026722,-0.010301,0.097983,0.002150,-0.043038,0.010249,-0.020639,0.006112,-0.010517,0.077114,0.128683,0.032458,-0.013569,-0.022992,0.027857,-0.112459,-0.038308,0.075639,-0.001295,0.065741,0.108904,0.007787,0.016453,0.015443,0.014424,-0.029014,-0.009567,0.092518,-0.004654,-0.026860,-0.018399,0.020958,0.036331,0.069911,-0.109560,-0.022924,0.021290,0.030820,0.083491,-0.018350,-0.027823,0.075466,0.025245,-0.046782,0.036477
5,RET,Returns,-0.150874,-0.000936,-0.031648,0.035266,-0.020004,-0.001625,-0.017041,-0.086712,-0.052280,0.010221,0.001198,-0.020433,0.000000,0.069281,-0.054623,-0.032703,-0.013013,-0.036837,0.020636,0.038126,-0.044360,-0.048580,-0.025170,-0.060621,-0.061238,-0.011636,-0.027211,-0.031298,0.090844,-0.018222,-0.045749,-0.046498,-0.052554,-0.023367,0.055741,0.030216,-0.133013,-0.050899,-0.030174,-0.009540,-0.002956,-0.110351,-0.058269,-0.043634,-0.045329,0.020236,-0.025721,-0.002772,-0.025990,-0.093093,0.033868,-0.060379,0.049333,-0.016629,-0.040975,-0.012213,-0.040498,0.007382,-0.012092,-0.015334,-0.011072,0.009113,-0.021790,-0.072784,-0.058385,-0.018695,-0.042192,-0.020000,-0.025360,-0.035527,0.038118,-0.056455,-0.068030,-0.117063,0.035690,-0.043467,-0.051634,-0.008067,-0.018197,-0.005723,-0.076836,-0.008046,-0.100259,-0.116204,0.020721,-0.001727,-0.018130,-0.000398,-0.055101,-0.030169,-0.026205,0.030552,0.079669,-0.029328
6,RET,Returns,-0.041827,0.021311,0.006039,-0.000584,-0.005090,-0.034916,0.117596,0.051942,-0.038051,-0.020971,-0.016096,-0.006198,-0.024934,-0.051564,-0.030996,0.053361,-0.021298,0.020973,-0.007292,0.018985,0.032379,0.035393,0.079350,-0.007622,0.100358,0.037966,-0.021867,-0.036249,-0.016393,-0.011663,0.055134,-0.107284,-0.142969,0.015633,0.003886,-0.032123,0.003036,0.070285,0.028598,-0.030648,0.031920,0.127777,-0.003445,-0.005094,-0.057188,-0.018418,-0.021370,-0.019148,-0.038548,0.054384,-0.004982,-0.015009,-0.015898,0.070294,-0.010346,-0.025851,0.012964,-0.070707,-0.005052,-0.034545,0.025985,0.000356,0.094323,0.060215,0.028698,0.012452,-0.041477,0.008719,0.018987,0.038551,-0.001985,-0.008030,0.024885,-0.113692,-0.027917,0.059186,-0.005109,0.002502,0.041567,0.070223,-0.001022,0.005230,-0.030099,0.018653,0.001724,0.022098,0.011014,0.014395,0.073054,0.104434,0.010698,0.037611,-0.005779,0.007224
7,RET,Returns,0.186660,0.102155,0.033192,0.054599,0.038187,0.068680,-0.304809,0.033993,-0.040889,-0.018978,-0.054816,0.071310,0.142546,-0.023213,0.050621,-0.062258,0.001244,-0.044441,-0.004341,0.050092,-0.094792,0.052953,-0.074217,-0.084485,0.067060,0.059942,-0.046635,-0.113655,-0.010333,-0.114015,0.070022,-0.178218,-0.074749,-0.058346,0.018828,-0.030303,-0.009700,-0.103971,0.027345,-0.008192,0.039892,-0.078053,0.017749,-0.100930,-0.030176,0.018195,-0.039702,0.007260,0.007680,-0.052632,0.043892,0.094286,0.034403,0.027139,0.110677,-0.063788,0.053274,0.079071,0.015427,-0.128389,0.089064,0.023637,0.105408,0.056320,0.032618,-0.024691,0.058749,-0.184141,0.033126,0.050707,0.055630,0.107371,0.016367,-0.120040,0.016603,-0.093485,0.026724,0.053978,0.031227,0.087218,-0.060364,-0.046243,-0.015847,0.068111,-0.085628,-0.163003,0.036269,-0.019395,0.021947,0.043265,0.078414,0.038099,-0.076188,0.104156
8,RET,Returns,-0.001619,0.019468,0.013671,0.020210,0.025871,-0.024100,0.146523,-0.073648,0.025579,0.009220,-0.028675,0.009703,0.056667,-0.108068,0.004165,-0.092616,0.031670,-0.063779,0.009103,0.019197,-0.054600,-0.075903,-0.113154,0.229866,0.025367,-0.013074,0.017146,0.040129,-0.001347,0.102660,-0.033261,0.155796,0.147783,0.046566,0.060104,0.254873,0.066899,-0.035145,0.007908,0.041909,0.030559,-0.020874,-0.026841,-0.019934,-0.012100,-0.003097,0.006379,0.145722,0.049864,0.092778,0.039728,0.000877,0.006966,-0.007751,0.040412,-0.045503,0.014411,-0.071655,0.058269,0.025000,0.044517,0.103512,0.016389,-0.010677,0.071904,0.022279,-0.025955,-0.011746,0.046092,-0.053550,0.029978,0.069642,0.101424,0.071753,0.047482,-0.094070,-0.083022,0.025977,0.000234,0.038013,0.056402,0.010606,0.094359,0.086138,-0.051176,0.022058,0.002187,0.012623,0.040213,0.058946,-0.031518,0.019381,0.008708,0.003691
9,RET,Returns,0.134562,-0.002875,0.069117,-0.003015,0.082672,0.051448,0.041842,-0.031863,-0.063739,0.067377,0.052737,0.040800,0.024335,-0.041866,0.044741,0.145747,0.006484,-0.008289,0.037421,0.053082,0.076060,-0.061485,0.061765,0.045020,-0.042623,0.007143,0.071804,0.012860,0.042496,0.032127,0.012362,0.019411,0.028326,0.020816,-0.007215,-0.033453,-0.072153,0.076611,0.060992,0.043746,0.084700,0.061739,0.138042,-0.127836,0.062117,0.010516,0.056302,0.005744,0.011980,0.051099,0.004330,0.028471,0.004017,0.019131,0.041889,0.036955,0.089694,-0.009808,0.029984,0.037936,-0.073267,-0.009064,0.033292,0.108223,0.064202,0.088782,-0.103369,0.030892,0.132822,-0.052167,0.004289,0.029028,0.001292,-0.035041,0.016946,0.098033,0.013948,0.005544,0.068758,0.045936,0.141765,0.096871,0.020252,-0.052936,0.095208,0.026981,0.046149,0.010206,0.055429,-0.102507,0.041151,-0.030857,0.102862,-0.008423
10,RET,Returns,0.053261,-0.015548,0.048881,0.139126,-0.021840,0.061233,0.185866,0.035918,0.059092,0.033524,0.012809,0.005600,0.011219,0.012463,-0.019002,0.004414,0.009865,-0.072796,0.035266,0.102168,0.008518,0.017974,0.074477,0.050044,-0.021832,0.036078,0.069094,0.065236,0.017794,0.046434,0.058432,0.132934,0.022538,0.006439,0.023786,0.023486,0.141429,0.053920,-0.004744,-0.005382,0.001890,0.185345,0.123958,0.137083,0.029225,0.005485,0.029829,0.055874,0.126800,0.037433,0.037881,0.017462,0.045658,-0.017368,0.010109,0.075909,0.071575,0.050603,0.007939,0.059393,0.062443,-0.057222,0.084009,0.051982,0.049726,0.048619,0.031597,0.193417,0.041150,-0.024319,-0.027888,-0.060296,0.027751,0.001100,0.045407,0.108664,0.016927,0.056297,0.071507,0.062116,0.071131,0.097641,-0.091128,-0.008537,0.029886,0.047401,0.018663,0.037411,0.007406,-0.015995,0.003040,0.023460,-0.000811,0.064382
11,RET,Returns,0.130488,-0.017891,0.024005,0.011344,0.040254,-0.064155,0.059071,0.070576,0.063335,0.015741,0.112322,0.010024,-0.026757,0.065315,0.034041,0.003232,-0.001595,0.021743,0.016883,-0.005163,-0.017942,0.117198,-0.017797,0.115209,-0.083174,0.083929,0.032751,0.119605,0.050540,-0.019122,0.097696,0.006536,0.070204,0.033472,-0.013714,-0.018116,0.039517,0.007770,0.052602,0.004842,-0.042671,0.017675,0.026398,0.045286,0.023172,0.054317,0.025804,0.018585,-0.001191,0.007263,-0.016543,-0.024452,0.008990,-0.036065,0.044519,0.000664,0.025048,0.070871,0.038334,0.039067,0.035411,0.087065,-0.020035,-0.003533,0.026123,0.076948,0.101159,-0.059730,0.031402,0.072433,-0.023171,0.040525,-0.009465,0.005496,0.021822,-0.065033,0.085606,0.006525,0.058084,-0.009927,-0.016391,0.009245,-0.020875,0.006150,0.002096,0.039151,-0.005910,-0.014075,-0.017271,-0.071257,-0.021218,0.136308,-0.064529,0.079950
12,RET,Returns,-0.074405,0.043935,0.095846,0.025777,0.025677,-0.038429,-0.021815,-0.048906,-0.116491,0.033208,0.003502,-0.008542,0.049888,0.016751,0.107766,0.060008,0.123210,-0.011285,0.002921,0.046219,-0.013611,0.069094,0.010899,0.015608,0.074383,0.016731,0.037929,-0.078928,0.046294,0.006623,-0.084197,-0.070192,0.006865,0.017070,0.019101,-0.076261,-0.089709,-0.058217,-0.006547,0.062642,-0.015616,-0.050185,0.023357,-0.079727,0.057677,0.020472,0.052583,0.045869,0.056897,-0.053517,0.001669,0.043647,0.030322,-0.027804,0.017910,0.032825,0.056231,0.026472,0.004768,-0.043334,0.029331,0.092781,-0.011907,0.069196,0.017030,0.004548,-0.080138,0.021117,-0.100262,-0.025626,0.014200,-0.057839,0.023571,0.036075,0.039185,0.003542,-0.075862,0.016828,-0.006766,0.054261,-0.017903,0.081430,-0.025381,0.094743,0.016571,-0.037731,0.087693,-0.031148,0.065827,0.133366,0.009081,-0.055836,0.005369,-0.002343
13,RET,Returns,0.010490,0.094129,0.022204,0.022311,-0.076025,0.030157,-0.045362,0.099384,0.005285,-0.037910,0.008104,-0.015171,0.070489,-0.075409,0.021844,0.104483,-0.010233,0.049568,0.051809,0.047720,0.046602,-0.076998,0.062228,-0.025979,0.090222,-0.008840,0.017450,-0.034675,0.026262,0.041103,0.044872,0.077153,0.059848,0.019959,-0.030700,0.082557,0.037547,0.016387,0.054203,-0.031174,-0.009395,0.089081,0.066015,-0.048631,0.014442,0.046878,0.009947,0.050740,0.020587,0.035062,0.011815,0.061491,-0.007668,0.038772,0.055610,0.083788,0.000451,0.000934,0.052703,-0.046580,0.018294,0.051114,0.026376,0.020017,0.033490,-0.002222,-0.008826,-0.008352,0.001167,-0.050584,0.043006,0.013127,0.014159,-0.003440,-0.017045,-0.013552,0.005225,-0.008953,0.129332,0.062518,0.075548,0.004132,0.084375,-0.027359,0.097588,-0.036010,-0.016303,0.087972,0.045247,-0.012857,0.017998,0.033308,0.032698,-0.033016
14,RET,Returns,-0.013064,0.030566,-0.052185,0.040432,-0.000831,-0.086827,0.039023,-0.061806,-0.079086,-0.023188,-0.021773,-0.022632,0.007048,-0.054904,0.015496,-0.083710,-0.076546,0.005619,-0.013031,-0.130101,-0.041584,-0.010239,-0.002493,-0.025545,-0.066270,-0.052689,0.031073,-0.056565,-0.026159,0.053924,-0.062634,-0.010188,-0.002144,-0.036858,0.106351,-0.027060,-0.001739,0.034692,-0.022649,-0.023856,0.112562,-0.103789,-0.049067,0.049255,-0.028228,-0.027377,0.021011,-0.090804,-0.059607,-0.047113,-0.052320,-0.030238,-0.025063,-0.020418,0.004321,-0.034411,-0.014882,-0.057811,0.016742,0.003499,-0.035588,-0.043202,-0.013408,-0.095060,-0.083927,0.057282,0.148417,-0.044914,-0.042541,-0.005177,-0.032036,-0.037729,-0.021273,0.073290,0.031792,-0.115627,-0.008112,-0.009376,-0.007081,-0.022057,0.004726,-0.067444,-0.007374,-0.001531,-0.020495,-0.023105,0.001685,-0.031094,-0.029076,-0.011534,-0.033964,-0.000741,0.013001,-0.028340
15,RET,Returns,0.098097,0.021604,0.077138,0.085746,0.005490,-0.130408,0.016607,0.032720,0.069000,-0.008264,0.018909,0.003738,0.056539,0.015666,-0.001969,0.052312,0.019258,0.040354,-0.009197,0.008943,-0.020382,0.046387,-0.036679,-0.015806,0.086569,0.079393,-0.025626,0.015755,0.005255,0.056076,0.055708,0.033999,-0.007880,0.000929,0.042166,-0.002528,0.152935,-0.058741,0.000262,0.012890,0.071129,0.019379,0.024188,0.026520,-0.066305,0.035784,-0.007328,0.022109,0.014203,-0.036757,-0.042428,-0.020449,0.035561,0.021297,-0.002468,-0.032565,0.031128,-0.025814,-0.000158,0.031722,0.052088,0.042686,0.009060,0.051255,-0.010650,0.020676,0.117030,0.067060,0.103469,0.073938,0.011243,0.012019,-0.005198,0.058558,-0.015593,0.014887,0.100318,0.023743,-0.013216,0.071467,-0.036893,-0.030482,-0.027778,0.015715,0.030128,-0.001282,-0.008132,-0.009750,0.013904,0.026622,-0.007781,0.058584,-0.023598,0.052595
16,RET,Returns,0.074158,0.020520,0.014530,0.030154,0.037629,0.147817,0.541342,0.027581,0.085621,0.078369,0.046002,-0.002352,0.075185,0.215636,0.003699,0.049712,0.044410,0.087871,0.019614,0.027360,-0.015902,0.014631,-0.002322,0.047395,0.063269,0.051785,-0.005260,0.086170,0.015974,-0.027257,0.052730,0.023831,0.096029,0.090508,0.097511,0.019011,0.019376,-0.018524,0.031283,0.042421,0.066145,0.028855,0.059672,0.000945,0.030757,-0.000212,0.176292,0.049826,0.084341,0.123889,0.065715,0.083919,0.087292,0.100912,-0.009070,-0.027945,0.071698,0.081125,0.040380,0.082952,0.030498,0.075600,0.164591,0.070086,0.074273,0.013740,0.090757,0.052372,0.036955,0.028189,0.039805,0.047506,0.025174,0.026723,0.020587,-0.010842,0.068452,0.031105,0.036225,-0.009003,0.001856,0.046146,0.144518,0.001699,0.125062,0.004708,-0.017730,0.032769,0.017537,-0.043365,0.042405,0.036543,0.020660,0.052087
17,RET,Returns,0.214339,-0.004769,0.047059,-0.043807,-0.007060,-0.119894,0.127344,0.113793,0.064081,0.071040,0.085376,0.007269,0.003708,0.027615,0.001976,0.050243,0.026296,0.082071,-0.011515,0.028132,0.074692,0.122423,0.054135,0.006731,0.063466,0.055020,0.071588,0.067473,0.013150,0.017261,0.053657,-0.040660,0.112648,0.036657,0.040180,0.037313,0.171828,0.058612,0.022166,0.019533,0.012849,0.056279,0.055853,0.134404,0.026406,0.009977,0.073459,0.084718,0.046864,0.036856,-0.008331,-0.005182,0.015329,-0.001438,0.024027,0.073953,0.047017,0.004534,0.035008,0.068503,0.031631,0.044245,0.019635,0.012260,0.028393,0.053658,0.113141,0.091080,0.030851,0.084221,0.033893,0.049887,-0.013199,-0.016210,0.038476,-0.071244,0.054720,-0.036452,-0.056037,0.067665,0.053562,0.038536,0.028804,0.032228,0.059344,0.027829,0.006696,0.054894,0.140126,0.029784,0.013374,0.080000,-0.002087,0.052154
18,RET,Returns,0.007005,-0.049689,0.047631,-0.054377,0.000163,-0.020549,-0.010558,0.010402,0.048943,-0.058480,-0.044040,-0.035890,-0.005850,0.020005,0.021696,0.041241,-0.058726,-0.003563,-0.031511,0.025903,-0.016796,0.013819,0.036302,0.034547,-0.054229,0.033746,-0.028287,0.060904,-0.023082,-0.016307,0.021490,-0.011671,0.071640,-0.034056,-0.069231,0.129496,0.052351,-0.004927,-0.025174,0.026078,-0.062465,0.049790,-0.060957,-0.040334,0.018137,0.005675,-0.028147,-0.022096,-0.012664,0.070334,-0.026079,-0.065213,-0.006416,-0.046742,-0.040469,-0.064899,0.004154,-0.024638,-0.051765,-0.013301,-0.003797,0.096429,-0.043279,-0.013641,-0.039756,0.030396,0.103653,-0.091742,0.017028,0.056940,-0.045441,-0.069844,-0.037136,0.010244,-0.026169,-0.089205,0.093040,-0.047764,-0.138359,0.003870,0.018741,-0.015442,0.064197,-0.066277,-0.045824,0.014312,-0.035570,0.005386,-0.054215,-0.035232,-0.025492,-0.004408,0.010714,0.008537
19,RET,Returns,0.079646,-0.047339,-0.017720,-0.034414,-0.135913,-0.028034,0.148078,-0.007354,-0.031929,-0.040700,0.075603,-0.030068,-0.066383,-0.060383,0.032577,-0.090938,-0.092026,0.010983,0.023285,-0.065789,-0.097909,0.035032,0.024351,0.038061,-0.032922,0.012108,-0.080842,-0.020315,-0.033392,-0.016735,-0.047005,0.006837,0.022652,0.005769,-0.033747,-0.096603,0.138523,-0.002073,0.008054,0.012539,-0.040461,-0.024297,-0.129458,0.044058,-0.055400,-0.078155,0.021855,0.031600,0.051306,-0.005051,-0.018176,-0.083798,-0.003823,-0.032033,0.046213,-0.084718,-0.056935,-0.020536,-0.066067,0.024542,-0.052324,-0.043900,-0.003012,-0.087935,-0.016288,-0.031566,0.152245,0.023017,-0.029934,-0.020041,0.011874,-0.080563,0.016669,-0.040101,0.027278,0.016768,0.115140,-0.018956,-0.069970,-0.047831,-0.047641,-0.084601,-0.062716,-0.052992,0.034650,0.037260,-0.091047,0.028761,0.045057,0.014699,-0.039807,0.019924,-0.044897,0.014902
20,RET,Returns,0.051002,0.024068,-0.021837,0.031731,0.037253,-0.067547,0.017443,-0.042801,-0.026823,0.001367,-0.061684,0.068747,0.041065,0.062492,-0.049824,0.026047,0.018252,-0.038452,0.004848,-0.006852,-0.085830,0.012989,0.032609,0.104116,0.074737,0.036125,0.051145,0.010011,0.018182,-0.019549,0.009382,0.052469,0.062129,0.051466,0.013685,-0.082256,-0.069802,-0.009572,0.000000,0.002838,-0.023100,0.010294,-0.065467,-0.037202,0.036723,0.030393,-0.019301,0.072127,0.058202,0.094941,0.028182,0.011588,0.032048,0.068127,0.010256,0.108890,0.028828,0.042826,0.063600,0.028677,0.044231,0.082079,0.010473,-0.023485,-0.005519,-0.001949,0.065690,-0.042953,0.060669,-0.000529,0.036727,0.068907,0.055771,-0.038896,0.108020,0.032609,0.020640,0.066959,0.106668,0.018131,0.090804,-0.011293,-0.026996,0.032624,-0.060601,0.001849,0.080133,0.027134,-0.017363,0.022295,0.091205,-0.035659,-0.045702,0.011159
21,RET,Returns,0.108247,0.032942,-0.023295,0.035971,0.044566,0.128916,0.165686,0.163867,0.099224,0.012794,0.085729,0.004538,0.030816,0.077629,0.091764,-0.011321,-0.004480,0.035106,0.075392,-0.073208,0.027374,0.071804,-0.006154,0.037904,0.047858,0.066317,0.016615,-0.023009,0.023512,0.019939,0.106626,0.144282,0.057986,0.081048,0.066365,0.087068,0.199840,-0.044037,0.075229,0.072292,0.123728,0.100961,0.231407,0.110147,-0.153224,0.033045,0.059127,0.010537,0.009512,0.004272,0.063279,0.029200,0.074935,-0.007323,0.094311,-0.097875,0.105990,0.067562,0.088681,0.028465,0.012534,0.229424,0.037871,0.010101,0.025409,0.044462,0.128906,0.013669,0.067554,0.134768,0.082390,-0.016506,0.077017,0.059413,0.044588,-0.049002,0.088083,0.022260,0.053519,0.061199,-0.035796,-0.032666,0.068633,-0.031594,0.013355,-0.004482,0.017929,0.078387,0.057307,0.048147,-0.025178,0.098710,0.000458,0.079669
22,RET,Returns,0.237701,0.024711,-0.019379,0.046224,-0.083756,0.027223,-0.042941,0.154342,0.098047,0.029139,-0.060958,-0.039586,0.066276,-0.040390,0.112143,0.050312,-0.102207,-0.044116,0.074453,-0.129446,-0.012645,-0.027344,0.095975,-0.002110,0.052738,-0.022120,-0.001009,0.108696,0.006979,0.045982,0.122596,-0.074833,0.220673,-0.017850,0.098461,0.044759,0.124917,-0.013461,0.080265,-0.005797,0.130169,0.246320,0.145474,0.026562,-0.028668,0.012554,0.015806,0.037959,-0.014261,0.040217,-0.008067,0.034046,0.074648,-0.048832,0.014287,-0.037473,0.096932,-0.156798,-0.012620,-0.077153,0.048900,0.140716,0.127104,0.071905,0.249491,0.129560,0.013702,0.000000,0.024018,0.077559,0.006279,0.007368,-0.006682,0.011122,-0.003290,0.018321,-0.080286,0.010474,0.043299,-0.003900,-0.034765,-0.005447,-0.106313,0.014867,0.132496,0.000000,0.019367,-0.048335,0.050136,-0.160669,-0.045199,0.071345,0.035739,-0.006158
23,RET,Returns,-0.040695,0.052911,-0.114981,-0.002697,-0.017176,-0.049217,0.015816,-0.067624,-0.041003,-0.032322,-0.057815,-0.044532,-0.002333,-0.072878,-0.018219,-0.012004,-0.192363,-0.036322,0.049954,-0.024228,-0.186817,-0.057910,0.004237,-0.152450,-0.037686,-0.034532,-0.059584,-0.198039,-0.042737,-0.068828,-0.113383,-0.071191,-0.241040,0.096614,-0.015342,-0.153326,-0.159330,-0.047126,-0.023967,-0.069728,0.007577,-0.019802,-0.085834,-0.069000,-0.086481,0.011116,-0.058600,-0.010062,-0.090768,-0.026301,0.045803,-0.029362,0.011010,-0.014312,0.009542,-0.092228,0.003684,0.071880,-0.036601,-0.030338,0.063485,0.017822,0.018881,-0.216176,-0.084216,-0.009206,-0.069497,-0.008519,-0.089761,0.010427,0.046934,-0.022755,0.064442,-0.045635,-0.027669,-0.123313,-0.032308,0.037166,-0.048307,-0.085666,-0.020372,-0.051342,-0.031595,0.119023,-0.011403,-0.013316,-0.002111,-0.019585,-0.062079,-0.074779,-0.037342,-0.048781,0.059500,-0.026959
